",""Weight_seeds_Top_net"",""Weight_mfl_net"",""Gen"",""Pop"",""Gen_Pop"",""Sampler"",""Date"",""Total_height"",""Plant_Biomass"",""relMRE"""
"133,0.05205,0.05125,3,""5"",""G3_P5"",""Nora"",""10_08_2020"",65,10.08141,0.496127783155857"
"134,0.04515,0.0498500000000001,7,""5"",""G7_P5"",""Nora"",""10_08_2020"",83,14.87721,0.524736842105264"
"135,0,0.09265,7,""1"",""G7_P1"",""Nora"",""10_08_2020"",72,11.56611,1"
"136,0.0467500000000001,0.01505,6,""1"",""G6_P1"",""Nora"",""11_08_2020"",98,21.82211,0.243527508090614"
"137,0.05915,0.0624,6,""3"",""G6_P3"",""Aphia"",""10_08_2020"",59.5,8.17176,0.513368983957219"
"138,0.0982500000000001,0.02615,7,""3"",""G7_P3"",""Aphia"",""10_08_2020"",80,7.33951,0.210209003215434"
"139,0,0.27535,5,""1"",""G5_P1"",""Aphia"",""10_08_2020"",98.5,17.44711,1"
"140,0.0840500000000001,0.15925,5,""5"",""G5_P5"",""Prosper"",""11_08_2020"",96,14.58641,0.654541718043567"
"141,0.05345,0.07565,5,""1"",""G5_P1"",""Solenn"",""10_08_2020"",74,13.18691,0.585979860573199"
"142,0.0487500000000001,0.026,3,""1"",""G3_P1"",""Solenn"",""10_08_2020"",57,0.73863,0.347826086956521"
"143,0.0448500000000001,0.0277500000000001,6,""1"",""G6_P1"",""Solenn"",""10_08_2020"",85.5,12.24041,0.382231404958678"
"144,0.0446500000000001,0.0182,6,""1"",""G6_P1"",""Aphia"",""12_08_2020"",88.5,12.33826,0.289578361177406"
"145,0.0313500000000001,0.01515,5,""1"",""G5_P1"",""Aphia"",""12_08_2020"",75,10.87421,0.325806451612903"
"146,0.0750500000000001,0,7,""1"",""G7_P1"",""Aphia"",""12_08_2020"",84,10.77026,0"
"147,0.04105,0.0545500000000001,6,""5"",""G6_P5"",""Nora"",""12_08_2020"",78,3.84041,0.57060669456067"
"148,0,0.18635,7,""5"",""G7_P5"",""Aline"",""11_08_2020"",85.5,21.57031,1"
"149,0.07145,0,1,""3"",""G1_P3"",""Prosper"",""06_08_2020"",69,3.96306,0"
"150,0.06325,0.0208,3,""5"",""G3_P5"",""Solenn"",""12_08_2020"",74,19.92196,0.247471743010113"
"151,0.02795,0.039,3,""1"",""G3_P1"",""Solenn"",""12_08_2020"",57,4.58303,0.58252427184466"
"152,0.0378500000000001,0.17405,5,""1"",""G5_P1"",""Solenn"",""13_08_2020"",86,18.89911,0.821378008494573"
"153,0.03815,0.0156,5,""5"",""G5_P5"",""Solenn"",""13_08_2020"",72.7,9.37706,0.290232558139535"
"154,0.07045,0.08645,3,""1"",""G3_P1"",""Prosper"",""12_08_2020"",64,6.12471,0.550987890376036"
"155,0.05845,0.06415,6,""1"",""G6_P1"",""Prosper"",""12_08_2020"",66,10.90041,0.523246329526917"
